날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 06월 04일,"37,906,000","37,856,000","38,092,000","37,602,000",0.22K,0.13%
2022년 06월 03일,"37,856,000","38,346,000","38,555,000","37,305,000",0.41K,-1.27%
2022년 06월 02일,"38,344,000","37,845,000","38,656,000","37,558,000",0.66K,1.32%
2022년 06월 01일,"37,843,000","39,900,000","40,089,000","37,533,000",2.13K,-5.16%
2022년 05월 31일,"39,900,000","39,575,000","40,593,000","39,323,000",0.89K,0.79%
2022년 05월 30일,"39,589,000","37,425,000","40,000,000","37,196,000",1.39K,5.78%
2022년 05월 29일,"37,427,000","36,981,000","37,609,000","36,794,000",1.10K,1.21%
2022년 05월 28일,"36,981,000","36,798,000","37,311,000","36,576,000",1.15K,0.53%
2022년 05월 27일,"36,787,000","37,595,000","37,764,000","36,336,000",1.56K,-2.15%
2022년 05월 26일,"37,595,000","37,863,000","38,157,000","36,300,000",2.17K,-0.71%
2022년 05월 25일,"37,863,000","37,747,000","38,344,000","37,525,000",1.08K,0.33%
2022년 05월 24일,"37,739,000","37,336,000","37,988,000","36,682,000",1.45K,1.08%
2022년 05월 23일,"37,336,000","38,916,000","39,175,000","37,112,000",1.47K,-4.06%
2022년 05월 22일,"38,916,000","38,001,000","39,132,000","37,832,000",1.36K,2.41%
2022년 05월 21일,"38,002,000","37,743,000","38,229,000","37,543,000",1.16K,0.69%
2022년 05월 20일,"37,743,000","38,751,000","39,242,000","37,210,000",1.57K,-2.61%
2022년 05월 19일,"38,755,000","36,891,000","38,998,000","36,851,000",1.54K,4.98%
2022년 05월 18일,"36,917,000","39,166,000","39,320,000","36,825,000",1.38K,-5.74%
2022년 05월 17일,"39,166,000","39,141,000","39,825,000","38,200,000",1.64K,0.06%
2022년 05월 16일,"39,141,000","40,884,000","40,888,000","38,456,000",1.15K,-4.28%
2022년 05월 15일,"40,890,000","39,899,000","40,950,000","39,186,000",0.82K,2.48%
2022년 05월 14일,"39,899,000","38,995,000","40,115,000","38,277,000",0.67K,2.29%
2022년 05월 13일,"39,004,000","38,557,000","40,747,000","38,145,000",1.33K,1.16%
2022년 05월 12일,"38,557,000","39,509,000","40,852,000","36,500,000",2.08K,-2.46%
2022년 05월 11일,"39,531,000","40,886,000","42,605,000","38,478,000",1.92K,-3.32%
2022년 05월 10일,"40,889,000","40,658,000","43,050,000","40,000,000",2.31K,0.58%
2022년 05월 09일,"40,652,000","44,681,000","44,985,000","40,398,000",3.11K,-9.02%
2022년 05월 08일,"44,681,000","46,449,000","46,475,000","44,575,000",1.16K,-3.86%
2022년 05월 07일,"46,474,000","46,964,000","47,200,000","46,001,000",0.92K,-1.08%
2022년 05월 06일,"46,982,000","47,588,000","47,734,000","46,125,000",1.07K,-1.25%
2022년 05월 05일,"47,575,000","50,595,000","50,821,000","47,199,000",2.54K,-5.97%
2022년 05월 04일,"50,595,000","48,697,000","50,984,000","48,625,000",1.40K,3.94%
2022년 05월 03일,"48,677,000","49,453,000","49,621,000","48,521,000",1.09K,-1.57%
2022년 05월 02일,"49,453,000","49,357,000","50,125,000","49,041,000",1.18K,0.22%
2022년 05월 01일,"49,343,000","49,239,000","49,588,000","48,470,000",1.06K,0.21%
2022년 04월 30일,"49,239,000","49,735,000","49,999,000","49,181,000",1.04K,-0.96%
2022년 04월 29일,"49,715,000","50,543,000","50,712,000","49,400,000",1.51K,-1.65%
2022년 04월 28일,"50,549,000","49,915,000","51,169,000","49,667,000",1.53K,1.26%
2022년 04월 27일,"49,918,000","48,720,000","50,067,000","48,570,000",1.16K,2.48%
2022년 04월 26일,"48,710,000","50,623,000","51,147,000","48,202,000",1.29K,-3.80%
2022년 04월 25일,"50,633,000","49,617,000","50,897,000","48,560,000",1.44K,2.02%
2022년 04월 24일,"49,629,000","49,723,000","50,116,000","49,247,000",0.93K,-0.14%
2022년 04월 23일,"49,699,000","49,942,000","50,287,000","49,437,000",0.71K,-0.49%
2022년 04월 22일,"49,942,000","50,878,000","50,977,000","49,395,000",1.04K,-1.84%
2022년 04월 21일,"50,878,000","51,402,000","53,050,000","50,300,000",0.95K,-1.05%
2022년 04월 20일,"51,420,000","51,444,000","52,339,000","51,035,000",0.80K,-0.05%
2022년 04월 19일,"51,446,000","50,767,000","51,768,000","50,428,000",0.49K,1.34%
2022년 04월 18일,"50,767,000","49,862,000","51,186,000","48,523,000",0.85K,1.82%
2022년 04월 17일,"49,862,000","50,443,000","50,600,000","49,714,000",0.63K,-1.15%
2022년 04월 16일,"50,443,000","50,702,000","50,802,000","50,132,000",0.51K,-0.53%
2022년 04월 15일,"50,714,000","49,947,000","50,796,000","49,780,000",0.41K,1.54%
2022년 04월 14일,"49,947,000","51,394,000","51,619,000","49,610,000",0.78K,-2.85%
2022년 04월 13일,"51,410,000","50,420,000","51,658,000","49,740,000",1.13K,2.00%
2022년 04월 12일,"50,402,000","49,884,000","51,024,000","49,385,000",1.14K,1.04%
2022년 04월 11일,"49,884,000","52,763,000","52,987,000","49,594,000",1.29K,-5.45%
2022년 04월 10일,"52,762,000","53,281,000","53,849,000","52,342,000",0.81K,-0.97%
2022년 04월 09일,"53,281,000","52,892,000","53,331,000","52,670,000",0.49K,0.70%
2022년 04월 08일,"52,910,000","53,813,000","54,593,000","52,753,000",0.80K,-1.67%
2022년 04월 07일,"53,808,000","53,025,000","54,341,000","52,777,000",0.81K,1.49%
2022년 04월 06일,"53,020,000","56,149,000","56,165,000","53,000,000",1.24K,-5.57%
2022년 04월 05일,"56,149,000","57,030,000","57,520,000","56,028,000",1.02K,-1.54%
2022년 04월 04일,"57,026,000","56,651,000","57,300,000","55,516,000",1.20K,0.66%
2022년 04월 03일,"56,651,000","56,052,000","57,500,000","55,805,000",0.27K,1.07%
2022년 04월 02일,"56,051,000","56,492,000","57,361,000","55,825,000",0.92K,-0.80%
2022년 04월 01일,"56,502,000","55,459,000","56,802,000","54,278,000",1.18K,1.91%
2022년 03월 31일,"55,442,000","56,699,000","57,185,000","55,232,000",1.34K,-2.17%
2022년 03월 30일,"56,674,000","57,044,000","57,085,000","56,098,000",1.22K,-0.65%
2022년 03월 29일,"57,047,000","56,884,000","57,618,000","56,433,000",1.39K,0.31%
2022년 03월 28일,"56,868,000","55,930,000","57,713,000","55,815,000",1.31K,1.67%
2022년 03월 27일,"55,936,000","54,002,000","56,183,000","53,718,000",2.02K,3.58%
2022년 03월 26일,"54,002,000","53,889,000","54,223,000","53,482,000",0.48K,0.21%
2022년 03월 25일,"53,889,000","52,886,000","54,328,000","52,680,000",0.90K,1.90%
2022년 03월 24일,"52,886,000","52,150,000","53,200,000","51,820,000",1.35K,1.41%
2022년 03월 23일,"52,150,000","51,753,000","52,260,000","51,043,000",1.10K,0.76%
2022년 03월 22일,"51,755,000","50,101,000","52,347,000","49,947,000",1.09K,3.34%
2022년 03월 21일,"50,081,000","50,493,000","50,765,000","49,783,000",0.92K,-0.85%
2022년 03월 20일,"50,510,000","51,242,000","51,350,000","50,170,000",0.95K,-1.38%
2022년 03월 19일,"51,218,000","50,739,000","51,296,000","50,605,000",0.63K,0.95%
2022년 03월 18일,"50,737,000","50,060,000","51,165,000","49,356,000",1.16K,1.40%
2022년 03월 17일,"50,035,000","50,456,000","50,800,000","49,593,000",0.58K,-0.83%
2022년 03월 16일,"50,452,000","48,590,000","51,282,000","48,421,000",1.33K,3.80%
2022년 03월 15일,"48,604,000","49,159,000","49,288,000","47,777,000",1.14K,-1.13%
