날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 06월 28일,"270,800","267,500","274,500","262,200",12.96K,1.16%
2020년 06월 27일,"267,700","276,300","277,700","264,200",27.25K,-3.11%
2020년 06월 26일,"276,300","280,000","280,600","274,400",10.27K,-1.32%
2020년 06월 25일,"280,000","283,000","283,600","273,900",8.23K,-1.06%
2020년 06월 24일,"283,000","290,300","297,500","279,100",23.10K,-2.48%
2020년 06월 23일,"290,200","291,100","293,200","288,400",7.39K,-0.31%
2020년 06월 22일,"291,100","275,500","294,600","275,500",26.87K,5.66%
2020년 06월 21일,"275,500","276,800","279,000","274,900",7.22K,-0.47%
2020년 06월 20일,"276,800","277,800","278,800","274,100",5.46K,-0.36%
2020년 06월 19일,"277,800","279,500","279,900","273,400",6.62K,-0.61%
2020년 06월 18일,"279,500","282,500","283,400","275,500",10.12K,-1.06%
2020년 06월 17일,"282,500","283,000","286,000","278,100",8.35K,-0.18%
2020년 06월 16일,"283,000","277,800","283,200","275,000",7.51K,1.87%
2020년 06월 15일,"277,800","279,100","280,500","263,700",17.48K,-0.47%
2020년 06월 14일,"279,100","286,300","286,600","277,400",12.57K,-2.51%
2020년 06월 13일,"286,300","285,900","286,700","283,300",4.15K,0.14%
2020년 06월 12일,"285,900","275,200","287,300","273,000",6.04K,3.89%
2020년 06월 11일,"275,200","294,100","296,300","274,900",51.07K,-6.43%
2020년 06월 10일,"294,100","291,700","294,800","288,900",14.74K,0.82%
2020년 06월 09일,"291,700","294,000","297,800","288,300",10.70K,-0.71%
2020년 06월 08일,"293,800","292,900","295,400","289,200",14.25K,0.27%
2020년 06월 07일,"293,000","290,900","294,100","284,100",16.51K,0.72%
2020년 06월 06일,"290,900","289,100","293,300","287,100",7.43K,0.62%
2020년 06월 05일,"289,100","292,900","296,600","288,300",16.32K,-1.20%
2020년 06월 04일,"292,600","295,000","298,200","286,200",16.20K,-0.95%
2020년 06월 03일,"295,400","288,200","295,400","282,900",11.91K,2.50%
2020년 06월 02일,"288,200","293,900","301,800","275,700",44.25K,-1.81%
2020년 06월 01일,"293,500","280,300","297,000","279,400",31.02K,4.71%
2020년 05월 31일,"280,300","291,400","294,000","278,500",25.10K,-3.68%
2020년 05월 30일,"291,000","267,000","295,200","265,000",36.09K,8.99%
2020년 05월 29일,"267,000","266,100","270,700","262,300",11.43K,0.34%
2020년 05월 28일,"266,100","252,500","266,100","249,700",26.57K,5.39%
2020년 05월 27일,"252,500","244,000","252,900","243,800",10.64K,3.48%
2020년 05월 26일,"244,000","248,400","248,900","239,800",17.79K,-1.77%
